msk_instl_loan_user,msk_other_lending_user,msk_ever_loan_user,msk_mth_since_last_limit_review,msk_unauth_over_card_limit,dummy_cus_key
N,N,1,97,0,A000471
N,N,0,30,0,A000472
N,N,0,26,0,A000473
N,N,0,16,0,A000474
N,N,0,,0,A000475
Y,N,1,4,0,A000476
N,N,0,48,0,A000477
N,N,0,3,0,A000478
N,N,0,148,0,A000479
N,N,0,52,0,A000480
N,N,0,109,0,A000481
N,N,0,96,0,A000482
N,N,0,43,0,A000483
N,N,0,57,0,A000484
N,Y,1,37,0,A000485
N,N,0,0,0,A000486
N,N,0,16,1,A000487
N,N,0,171,0,A000488
N,N,0,12,0,A000489
N,N,0,34,0,A000490
N,N,0,62,0,A000491
N,N,0,44,0,A000492
N,N,0,108,0,A000493
N,N,0,58,0,A000494
N,N,0,2,0,A000495
N,N,0,30,0,A000496
N,N,0,2,0,A000497
N,N,0,115,0,A000498
N,N,0,17,0,A000499
Y,N,1,,0,A000500
Y,N,1,1,1,A000501
N,Y,1,9,0,A000502
N,N,0,97,0,A000503
N,N,0,7,0,A000504
N,N,0,1,0,A000505
N,N,0,9,1,A000506
N,N,0,1,0,A000507
N,N,0,5,0,A000508
N,N,0,3,0,A000509
Y,N,1,,0,A000510
N,N,0,36,1,A000511
N,N,0,33,0,A000512
N,N,0,89,0,A000513
N,N,0,168,0,A000514
N,N,0,10,0,A000515
N,N,0,88,0,A000516
Y,N,1,50,0,A000517
N,N,0,,0,A000518
N,N,1,99,0,A000519
N,Y,1,3,0,A000520
N,N,0,9,0,A000521
N,Y,1,36,1,A000522
N,N,0,46,0,A000523
N,Y,1,12,0,A000524
N,N,0,0,0,A000525
N,N,0,109,0,A000526
N,N,0,15,0,A000527
Y,N,1,32,0,A000528
Y,N,1,23,0,A000529
N,N,0,4,0,A000530
N,N,0,127,0,A000531
N,N,0,49,0,A000532
N,N,0,47,0,A000533
N,N,0,,0,A000534
N,N,0,9,0,A000535
N,N,0,81,0,A000536
N,N,0,28,0,A000537
N,N,0,0,0,A000538
N,N,0,146,0,A000539
Y,N,1,57,0,A000540
Y,N,1,3,1,A000541
N,N,1,40,1,A000542
N,N,0,35,1,A000543
N,N,0,69,0,A000544
N,N,0,64,0,A000545
N,N,0,56,0,A000546
N,Y,1,63,0,A000547
N,N,0,106,0,A000548
N,N,0,2,0,A000549
N,N,0,11,0,A000550
N,N,0,50,0,A000551
N,Y,0,47,0,A000552
Y,N,1,,0,A000553
N,N,0,49,0,A000554
N,N,1,126,1,A000555
N,N,0,97,0,A000556
N,Y,1,1,0,A000557
N,N,0,119,0,A000558
N,N,0,42,0,A000559
N,N,0,22,0,A000560
N,N,0,8,0,A000561
N,N,0,2,0,A000562
N,N,0,124,0,A000563
N,N,0,16,0,A000564
N,Y,1,33,0,A000565
N,N,1,17,0,A000566
N,N,0,,0,A000567
N,N,0,128,0,A000568
N,N,0,63,0,A000569
N,Y,1,46,0,A000570
N,N,0,36,1,A000571
N,N,0,8,0,A000572
N,N,0,26,0,A000573
N,N,0,45,1,A000574
N,N,0,0,0,A000575
N,N,0,31,0,A000576
N,N,0,10,0,A000577
N,N,1,30,0,A000578
N,N,0,56,0,A000579
N,N,0,17,0,A000580
N,N,0,9,0,A000581
N,N,0,4,0,A000582
N,N,0,44,1,A000583
N,N,0,21,0,A000584
N,N,0,3,0,A000585
N,N,0,68,0,A000586
N,N,1,23,0,A000587
N,N,0,3,0,A000588
N,N,0,31,0,A000589
N,N,0,7,0,A000590
N,N,0,7,0,A000591
N,N,1,59,0,A000592
Y,N,1,16,1,A000593
N,N,0,25,0,A000594
N,N,0,75,0,A000595
N,N,0,,0,A000596
N,N,0,16,0,A000597
N,N,0,61,0,A000598
Y,N,1,,0,A000599
N,N,0,2,0,A000600
N,N,0,89,0,A000601
N,N,0,18,1,A000602
N,N,0,62,0,A000603
N,N,0,130,0,A000604
N,N,0,36,0,A000605
N,N,0,5,0,A000606
N,Y,1,3,1,A000607
N,N,0,70,1,A000608
N,N,0,96,0,A000609
N,N,0,19,0,A000610
N,N,0,74,1,A000611
Y,N,1,35,1,A000612
N,N,0,2,0,A000613
N,N,0,51,1,A000614
Y,N,1,23,0,A000615
N,N,0,16,0,A000616
N,N,0,22,0,A000617
N,N,0,18,0,A000618
N,N,0,114,0,A000619
N,N,0,56,0,A000620
N,N,0,9,1,A000621
N,N,0,4,0,A000622
N,Y,1,,0,A000623
N,N,0,66,0,A000624
N,N,0,51,0,A000625
N,N,0,56,0,A000626
N,N,0,48,0,A000627
N,N,0,23,0,A000628
N,N,0,128,0,A000629
N,N,0,4,0,A000630
N,N,0,43,0,A000631
N,N,0,114,0,A000632
Y,N,1,58,0,A000633
N,N,1,64,0,A000634
Y,N,1,10,0,A000635
N,N,0,108,0,A000636
N,N,0,1,0,A000637
N,N,0,68,0,A000638
N,N,0,49,0,A000639
N,N,0,70,0,A000640
N,N,0,2,0,A000641
N,N,0,63,0,A000642
N,N,0,49,0,A000643
N,N,0,38,0,A000644
N,N,0,6,1,A000645
N,N,0,23,0,A000646
N,N,0,8,0,A000647
N,N,0,10,0,A000648
N,N,0,50,0,A000649
N,N,0,2,1,A000650
N,N,0,7,0,A000651
N,N,0,179,0,A000652
Y,N,1,8,0,A000653
N,Y,1,47,1,A000654
N,N,0,22,0,A000655
N,N,0,186,0,A000656
Y,N,1,57,1,A000657
N,Y,1,22,0,A000658
N,Y,1,,0,A000659
N,N,0,132,1,A000660
N,N,0,109,0,A000661
N,N,0,14,0,A000662
N,N,0,2,0,A000663
N,N,0,17,0,A000664
N,N,0,56,0,A000665
N,N,1,14,0,A000666
N,N,0,62,0,A000667
N,N,0,18,1,A000668
Y,N,1,47,0,A000669
N,Y,1,115,0,A000670
N,Y,1,,0,A000671
N,Y,1,35,0,A000672
N,N,0,71,0,A000673
N,N,0,40,1,A000674
N,N,0,10,0,A000675
N,N,0,132,0,A000676
N,N,0,26,0,A000677
N,N,0,2,0,A000678
N,N,0,26,0,A000679
N,Y,1,45,0,A000680
Y,N,1,2,0,A000681
N,N,0,21,0,A000682
N,N,0,0,0,A000683
N,N,0,2,0,A000684
N,N,0,10,0,A000685
N,N,0,22,0,A000686
N,N,0,138,0,A000687
N,N,0,7,0,A000688
N,N,0,69,0,A000689
N,N,0,36,0,A000690
N,N,0,2,1,A000691
N,N,0,,0,A000692
Y,N,1,62,1,A000693
N,N,0,71,0,A000694
N,N,0,4,0,A000695
N,N,0,51,0,A000696
N,Y,1,0,0,A000697
N,N,0,33,0,A000698
N,N,0,2,0,A000699
Y,N,1,,0,A000700
N,N,1,100,0,A000701
N,N,0,10,0,A000702
N,N,0,32,0,A000703
N,N,0,13,0,A000704
N,N,0,20,0,A000705
Y,N,1,13,0,A000706
N,Y,1,1,0,A000707
N,N,0,75,0,A000708
N,N,0,11,0,A000709
N,N,0,150,0,A000710
N,N,0,17,0,A000711
N,N,0,9,0,A000712
N,N,0,19,0,A000713
N,N,0,69,0,A000714
N,N,0,56,0,A000715
N,N,0,1,0,A000716
Y,N,1,34,0,A000717
N,N,0,38,1,A000718
N,N,0,8,0,A000719
N,N,0,34,0,A000720
N,N,0,19,1,A000721
N,N,0,8,0,A000722
N,N,0,49,1,A000723
N,N,0,60,0,A000724
N,N,0,43,0,A000725
N,N,0,96,0,A000726
N,N,0,31,0,A000727
N,N,0,7,0,A000728
N,N,0,13,0,A000729
N,N,0,8,0,A000730
Y,N,1,0,0,A000731
Y,N,1,29,1,A000732
N,N,1,4,0,A000733
Y,N,1,180,0,A000734
N,N,0,59,0,A000735
N,Y,1,2,0,A000736
N,N,0,140,0,A000737
N,N,0,0,0,A000738
N,N,0,4,0,A000739
N,N,0,66,0,A000740
Y,N,1,38,0,A000741
N,N,0,9,0,A000742
N,Y,0,,1,A000743
N,N,0,35,0,A000744
N,N,0,35,0,A000745
N,N,0,23,0,A000746
N,N,0,11,0,A000747
N,Y,1,0,1,A000748
N,N,0,44,0,A000749
N,N,0,0,0,A000750
N,N,0,6,0,A000751
N,N,0,20,1,A000752
N,N,0,26,0,A000753
N,N,0,61,0,A000754
N,N,0,74,0,A000755
N,N,0,35,0,A000756
N,Y,0,92,0,A000757
N,N,0,9,0,A000758
N,N,0,5,0,A000759
N,N,0,1,0,A000760
N,N,0,146,0,A000761
N,N,0,8,0,A000762
N,N,0,45,0,A000763
N,N,0,43,0,A000764
N,N,0,33,0,A000765
N,N,0,35,0,A000766
N,N,0,93,0,A000767
N,N,0,47,0,A000768
N,N,0,175,0,A000769
N,N,0,67,0,A000770
N,Y,1,65,0,A000771
N,N,0,2,0,A000772
N,N,1,8,0,A000773
N,N,0,10,1,A000774
N,N,0,12,0,A000775
N,N,0,43,0,A000776
N,N,0,186,0,A000777
N,N,0,9,0,A000778
Y,N,1,,0,A000779
N,N,0,0,0,A000780
Y,N,1,9,0,A000781
Y,N,1,,0,A000782
N,N,0,34,0,A000783
N,N,0,6,0,A000784
N,N,0,29,0,A000785
N,N,0,,0,A000786
N,N,0,3,0,A000787
N,Y,1,50,0,A000788
Y,N,1,11,0,A000789
Y,N,1,,1,A000790
N,Y,1,43,1,A000791
N,N,0,4,1,A000792
N,Y,1,1,1,A000793
N,N,0,179,0,A000794
N,N,0,85,0,A000795
N,N,0,18,0,A000796
N,N,0,56,0,A000797
N,Y,1,22,1,A000798
N,N,0,19,0,A000799
N,N,0,37,0,A000800
N,N,1,,0,A000801
N,N,0,0,0,A000802
N,N,0,6,0,A000803
N,N,0,3,1,A000804
N,N,0,3,1,A000805
N,N,0,4,0,A000806
N,N,0,59,0,A000807
N,N,0,29,0,A000808
N,N,0,148,0,A000809
N,N,0,128,0,A000810
N,Y,0,9,1,A000811
N,N,1,13,0,A000812
N,N,0,16,0,A000813
Y,N,1,58,0,A000814
N,N,0,64,0,A000815
N,N,0,45,0,A000816
N,N,0,57,0,A000817
N,N,0,1,0,A000818
Y,N,1,38,0,A000819
N,Y,1,,0,A000820
Y,N,1,2,0,A000821
N,N,0,152,0,A000822
N,N,0,3,0,A000823
N,Y,1,7,1,A000824
N,N,0,58,0,A000825
N,Y,1,18,0,A000826
N,N,0,,0,A000827
N,N,0,15,0,A000828
N,N,0,33,0,A000829
Y,N,1,10,1,A000830
Y,N,1,14,0,A000831
N,N,0,2,0,A000832
N,Y,1,1,1,A000833
N,N,0,23,0,A000834
N,N,0,180,1,A000835
N,N,0,0,0,A000836
N,N,0,19,0,A000837
N,N,0,19,0,A000838
N,N,0,4,0,A000839
N,N,0,19,0,A000840
N,N,0,107,0,A000841
N,N,0,2,0,A000842
N,N,0,62,0,A000843
N,N,1,171,0,A000844
N,N,0,9,1,A000845
N,N,0,16,0,A000846
N,N,0,16,0,A000847
N,N,0,56,0,A000848
N,N,0,153,0,A000849
N,N,0,66,0,A000850
N,N,0,40,1,A000851
N,N,1,35,1,A000852
N,N,0,97,0,A000853
N,N,0,12,1,A000854
N,N,0,56,0,A000855
N,N,0,9,0,A000856
N,N,0,33,0,A000857
N,N,0,38,0,A000858
N,N,0,164,0,A000859
Y,N,1,5,1,A000860
N,N,1,49,0,A000861
N,N,0,68,1,A000862
N,Y,1,24,0,A000863
N,Y,1,45,0,A000864
N,N,0,95,0,A000865
N,N,0,193,0,A000866
N,N,0,3,0,A000867
N,N,0,15,1,A000868
N,N,0,43,0,A000869
N,N,1,7,0,A000870
N,N,0,114,0,A000871
N,N,0,30,0,A000872
N,N,0,4,0,A000873
N,N,0,143,1,A000874
N,N,0,10,0,A000875
N,N,0,10,0,A000876
N,N,0,19,0,A000877
N,N,0,9,0,A000878
N,N,0,133,0,A000879
N,N,0,22,0,A000880
N,N,0,59,0,A000881
N,N,0,21,0,A000882
N,N,0,2,0,A000883
N,N,0,4,0,A000884
N,Y,1,10,1,A000885
N,N,0,166,0,A000886
Y,N,1,18,1,A000887
N,N,0,45,0,A000888
N,N,0,0,0,A000889
N,N,0,36,0,A000890
N,N,0,10,0,A000891
N,Y,0,106,0,A000892
N,N,0,179,0,A000893
N,N,0,4,0,A000894
N,N,0,44,0,A000895
N,N,0,131,0,A000896
N,N,0,87,0,A000897
N,N,0,47,0,A000898
N,N,0,2,0,A000899
Y,N,1,38,1,A000900
N,N,0,4,0,A000901
N,N,1,5,0,A000902
N,N,0,12,0,A000903
N,N,0,7,0,A000904
N,N,0,9,0,A000905
Y,N,1,11,1,A000906
N,N,0,16,0,A000907
N,N,0,46,0,A000908
N,N,0,1,0,A000909
N,N,0,10,0,A000910
Y,N,1,2,0,A000911
N,N,0,41,0,A000912
N,N,0,75,0,A000913
N,N,0,29,0,A000914
N,N,0,6,0,A000915
Y,N,1,9,0,A000916
N,Y,1,9,0,A000917
N,N,0,24,0,A000918
N,N,0,1,0,A000919
N,N,1,110,0,A000920
N,N,0,11,0,A000921
N,N,0,2,0,A000922
N,N,0,100,0,A000923
N,N,0,82,0,A000924
N,N,0,16,0,A000925
N,N,0,74,0,A000926
N,N,0,108,1,A000927
N,Y,1,11,0,A000928
N,Y,1,0,0,A000929
Y,N,1,8,0,A000930
N,N,0,2,0,A000931
Y,N,1,19,0,A000932
N,N,0,56,0,A000933
N,N,0,56,0,A000934
N,N,1,62,0,A000935
Y,N,1,11,1,A000936
N,N,0,155,0,A000937
N,N,0,0,0,A000938
N,N,0,94,0,A000939
N,Y,1,172,0,A000940
N,Y,1,38,0,A000941
Y,N,1,35,0,A000942
N,N,0,22,0,A000943
N,N,0,161,0,A000944
N,N,0,19,0,A000945
N,N,0,16,0,A000946
N,N,0,32,0,A000947
N,Y,1,,0,A000948
N,N,0,48,0,A000949
N,N,0,5,1,A000950
N,Y,1,11,0,A000951
N,Y,1,,0,A000952
N,N,0,3,0,A000953
N,Y,1,2,1,A000954
N,N,0,59,0,A000955
N,N,0,7,0,A000956
N,N,0,13,0,A000957
N,N,0,2,0,A000958
N,N,0,36,0,A000959
Y,N,1,0,0,A000960
N,N,0,21,0,A000961
N,Y,1,120,0,A000962
N,N,0,90,0,A000963
N,N,0,19,1,A000964
N,N,0,22,0,A000965
N,N,0,50,0,A000966
N,N,0,71,0,A000967
N,Y,1,66,1,A000968
N,N,0,17,0,A000969
N,N,0,159,0,A000970
N,N,0,8,0,A000971
N,N,0,21,0,A000972
N,N,0,13,0,A000973
N,N,0,8,0,A000974
N,N,0,156,0,A000975
N,N,0,17,1,A000976
Y,N,1,,0,A000977
N,N,0,,0,A000978
N,N,0,34,0,A000979
N,N,1,2,0,A000980
N,Y,0,4,0,A000981
